,name,company,year,Price,kms_driven,fuel_type
107,PoloComfortline,Volkswagen,2015,399999,2800,Petrol
108,Polo,Volkswagen,2014,274999,32000,Petrol
109,Scorpio,Mahindra,2015,984999,22000,Diesel
110,Sunny,Nissan,2012,224999,45000,Petrol
111,Elitei20,Hyundai,2018,599999,21000,Petrol
112,Kwid,Renault,2016,244999,11000,Petrol
113,Duster,Renault,2013,399999,41000,Diesel
114,Duster,Renault,2014,474999,50000,Diesel
115,ScorpioVLX,Mahindra,2011,499999,66000,Diesel
116,SuzukiAlto,Maruti,2018,310000,3000,Petrol
117,RediGO,Datsun,2016,245000,7000,Petrol
118,SuzukiSwift,Maruti,2010,189500,38500,Diesel
119,PuntoEmotion,Fiat,2012,169500,37200,Diesel
120,SuzukiSwift,Maruti,2010,159500,43200,Diesel
121,EtiosGD,Toyota,2013,275000,24800,Petrol
122,i20Sportz,Hyundai,2014,370000,60000,Diesel
123,i10Sportz,Hyundai,2010,168000,45872,Petrol
124,BeatLT,Chevrolet,2011,150000,40000,Diesel
125,BeatLS,Chevrolet,2011,145000,45000,Diesel
126,CorollaAltis,Toyota,2015,575000,42000,Petrol
127,City1.5,Honda,2014,549000,39000,Petrol
128,SuzukiSwift,Maruti,2011,209000,47000,Diesel
129,EonEra,Hyundai,2013,185000,27000,Petrol
130,ScorpioS10,Mahindra,2015,900000,97200,Diesel
131,XUV500,Mahindra,2014,699999,52000,Diesel
132,Fiesta,Ford,2011,274999,55000,Diesel
133,City,Honda,2015,599999,30000,Diesel
134,SuzukiWagon,Maruti,2012,199999,44000,Petrol
135,City,Honda,2014,544999,45000,Diesel
136,i20,Hyundai,2009,199000,31000,Petrol
137,IndigoeCS,Tata,2016,320000,175430,Diesel
138,FluidicVerna,Hyundai,2015,540000,38000,Diesel
139,QuantoC8,Mahindra,2013,340000,37000,Diesel
140,SuzukiCiaz,Maruti,2016,700000,3350,Petrol
141,Creta1.6,Hyundai,2017,895000,32000,Petrol
142,ScorpioSLX,Mahindra,2007,355000,75000,Diesel
143,ScorpioSLE,Mahindra,2012,565000,62000,Diesel
144,Innova2.5,Toyota,2006,365000,73000,Diesel
145,SuzukiAlto,Maruti,2011,145000,41000,Petrol
146,SuzukiWagon,Maruti,2011,210000,35000,Petrol
147,SuzukiAlto,Maruti,2013,125000,39000,Petrol
148,SuzukiWagon,Maruti,2009,135000,45000,Petrol
149,SuzukiSwift,Maruti,2006,135000,45000,Petrol
150,SumoVicta,Tata,2012,285000,65000,Diesel
151,SuzukiWagon,Maruti,2010,145000,54870,Petrol
152,SuzukiAlto,Maruti,2010,135000,34580,Petrol
153,PassatDiesel,Volkswagen,2009,450000,97000,Diesel
154,ScalaRxL,Renault,2015,375000,25000,Diesel
155,Grandi10,Hyundai,2014,365000,20000,Petrol
156,i20Active,Hyundai,2015,500000,18000,Petrol
157,XyloE4,Mahindra,2012,400000,35000,Diesel
158,JeepMM,Mahindra,2019,390000,60,Diesel
159,BoleroSLE,Mahindra,2013,330000,80200,Diesel
160,Motors,Force,2015,580000,3200,Diesel
161,SuzukiSX4,Maruti,2012,265000,46000,Diesel
162,JeepCL550,Mahindra,2019,379000,0,Diesel
163,SuzukiAlto,Maruti,2015,219000,5000,Petrol
164,JeepCL550,Mahindra,2018,385000,588,Diesel
165,Etios,Toyota,2011,275000,36000,Diesel
166,Polo,Volkswagen,2015,330000,38000,Diesel
167,CityZX,Honda,2008,110000,45000,Petrol
168,CityVX,Honda,2016,519000,52000,Diesel
169,TharCRDe,Mahindra,2016,730000,29000,Diesel
170,A41.8,Audi,2009,699000,47000,Petrol
171,BenzGLA,Mercedes,2015,2000000,20000,Diesel
172,RoverFreelander,Land,2015,2100000,30000,Diesel
173,KwidRXT,Renault,2017,340000,5000,Petrol
174,AriaPleasure,Tata,2014,390000,35000,Diesel
175,BenzB,Mercedes,2014,1400000,31000,Petrol
176,GOT,Datsun,2016,245000,7000,Petrol
177,IndigoeCS,Tata,2016,320000,175400,Diesel
178,JazzVX,Honda,2016,450000,41000,Petrol
179,Amaze1.2,Honda,2014,311000,33000,Petrol
180,City,Honda,2012,399999,45000,Petrol
181,City,Honda,2015,599999,39000,Diesel
182,ScorpioS4,Mahindra,2015,855000,30000,Diesel
183,i20Active,Hyundai,2015,535000,37000,Diesel
184,SuzukiCiaz,Maruti,2017,699000,14000,Petrol
185,TaveraNeo,Chevrolet,2013,375000,55000,Diesel
186,EonSportz,Hyundai,2012,178000,30000,Petrol
187,SumoGold,Tata,2013,300000,50000,Diesel
188,SuzukiEeco,Maruti,2015,255000,9300,Petrol
189,Enjoy1.4,Chevrolet,2013,245000,55000,Diesel
190,SuzukiWagon,Maruti,2015,289999,22000,Petrol
191,TerranoXL,Nissan,2015,499999,60000,Diesel
192,Duster85,Renault,2014,489999,59000,Diesel
193,Duster85,Renault,2015,549999,19000,Diesel
194,SuzukiDzire,Maruti,2013,380000,30000,Petrol
195,KwidRXT,Renault,2018,325000,15000,Petrol
196,Kwid1.0,Renault,2018,349999,10000,Petrol
197,ScalaRxL,Renault,2014,349999,49000,Diesel
198,Grandi10,Hyundai,2014,410000,41000,Petrol
199,SuzukiSwift,Maruti,2011,225000,45000,Petrol
200,BeatLS,Chevrolet,2010,120000,43000,Petrol
201,BeatLS,Chevrolet,2015,220000,32700,Petrol
202,EcoSportTitanium,Ford,2016,599000,30000,Diesel
203,TUV300T4,Mahindra,2016,675000,9000,Diesel
204,IndicaV2,Tata,2008,150000,11000,Petrol
205,SuzukiSwift,Maruti,2019,610000,73,Petrol
206,ScorpioVLX,Mahindra,2004,230000,160000,Diesel
207,Accord,Honda,2009,175000,58559,Petrol
208,EcoSportTitanium,Ford,2014,520000,57000,Diesel
209,SuzukiErtiga,Maruti,2015,524999,50000,Diesel
210,Amaze,Honda,2014,299999,37000,Petrol
211,SuzukiDzire,Maruti,2012,299999,40000,Petrol
212,City,Honda,2011,284999,55000,Petrol
213,Scorpio2.6,Mahindra,2007,220000,170000,Diesel
214,SuzukiDzire,Maruti,2014,424999,55000,Diesel
215,City,Honda,2015,644999,39000,Petrol
216,Mobilio,Honda,2014,399999,44000,Petrol
217,CorollaAltis,Toyota,2009,199999,65000,Petrol
218,City,Honda,2014,584999,39000,Petrol
219,Laura,Skoda,2012,349999,44000,Diesel
220,Duster,Renault,2015,449999,49000,Diesel
221,SuzukiErtiga,Maruti,2018,799999,9000,Diesel
222,SuzukiDzire,Maruti,2015,444999,45000,Diesel
223,XUV500,Mahindra,2014,649999,47000,Diesel
224,VernaFluidic,Hyundai,2012,444999,40000,Diesel
225,SuzukiVitara,Maruti,2016,689999,29000,Diesel
226,SuzukiWagon,Maruti,2016,344999,15000,Petrol
227,Scorpio,Mahindra,2015,944999,45000,Diesel
228,Amaze,Honda,2014,274999,35000,Petrol
229,XUV500,Mahindra,2013,689999,80000,Diesel
230,Scorpio,Mahindra,2013,574999,68000,Diesel
231,Laura,Skoda,2013,374999,50000,Diesel
232,Polo,Volkswagen,2010,199999,60000,Diesel
233,Elitei20,Hyundai,2016,549999,9000,Petrol
234,ManzaAura,Tata,2012,130000,72000,Diesel
235,SailUVA,Chevrolet,2013,210000,60000,Petrol
236,VernaFluidic,Hyundai,2013,401000,45000,Diesel
237,A42.0,Audi,2012,1350000,40000,Diesel
238,ElantraSX,Hyundai,2013,600000,20000,Petrol
239,ScorpioVLX,Mahindra,2013,610000,35000,Diesel
240,KUV100K8,Mahindra,2016,400000,20000,Diesel
241,Grandi10,Hyundai,2017,524999,6821,Petrol
242,i20,Hyundai,2014,449999,23000,Petrol
243,Eon,Hyundai,2014,174999,14000,Petrol
244,i10,Hyundai,2012,244999,38000,Petrol
245,i20Active,Hyundai,2015,574999,35000,Diesel
246,RediGO,Datsun,2017,244999,22000,Petrol
247,EtiosLiva,Toyota,2011,239999,41000,Petrol
248,Verna,Hyundai,2014,489999,44000,Diesel
249,SuzukiSwift,Maruti,2013,324999,45000,Diesel
250,Fortuner,Toyota,2011,1074999,52000,Diesel
251,i10Sportz,Hyundai,2012,230000,34000,Petrol
252,BoleroPower,Mahindra,2018,699000,1800,Diesel
253,XUV500,Mahindra,2015,1000000,15000,Diesel
254,City1.5,Honda,2010,240000,400000,Petrol
255,SparkLT,Chevrolet,2009,110000,44000,Petrol
256,XUV500,Mahindra,2016,1130000,72000,Diesel
257,IndigoeCS,Tata,2014,250000,40000,Diesel
258,RapidElegance,Skoda,2013,340000,48000,Diesel
259,VistaQuadrajet,Tata,2011,120000,90000,Diesel
260,SuzukiAlto,Maruti,2015,265000,12000,Petrol
261,i10Magna,Hyundai,2011,175000,45000,Petrol
262,SuzukiSwift,Maruti,2016,350000,166000,Diesel
263,CityZX,Honda,2008,149000,42000,Petrol
264,JeepMM,Mahindra,2006,425000,122,Diesel
265,BeatDiesel,Chevrolet,2017,150000,62000,Diesel
266,City1.5,Honda,2010,225000,70000,Petrol
267,Verna1.4,Hyundai,2014,375000,36000,Petrol
268,Innova2.5,Toyota,2012,770000,0,Diesel
269,SuzukiSwift,Maruti,2014,335000,55000,Diesel
270,Elitei20,Hyundai,2015,450000,20000,Diesel
271,SuzukiSwift,Maruti,2012,225000,40000,Petrol
272,IndigoLX,Tata,2016,130000,104000,Diesel
273,VentoKonekt,Volkswagen,2011,245000,65000,Diesel
274,BenzC,Mercedes,2002,399000,41000,Petrol
275,SuzukiErtiga,Maruti,2013,450000,90000,Diesel
276,SonataTransform,Hyundai,2017,190000,36469,Diesel
277,Elitei20,Hyundai,2018,600000,7800,Petrol
278,SuzukiAlto,Maruti,2017,240000,60000,Petrol
279,SuzukiAlto,Maruti,2011,155000,32000,Petrol
280,JazzS,Honda,2009,169999,24695,Petrol
281,Grandi10,Hyundai,2017,450000,15141,Petrol
282,ScorpioW,Mahindra,2012,165000,65000,Diesel
283,SuzukiAlto,Maruti,2014,270000,22000,Petrol
284,Grandi10,Hyundai,2016,280000,59910,Diesel
285,XUV500W8,Mahindra,2012,560000,100000,Diesel
286,Creta1.6,Hyundai,2016,950000,25000,Petrol
287,i20Magna,Hyundai,2013,310000,35000,Petrol
288,Duster85,Renault,2015,715000,65000,Diesel
289,Grandi10,Hyundai,2014,340000,35000,Petrol
290,BrioV,Honda,2012,235000,33000,Petrol
291,TUV300T4,Mahindra,2017,610000,68000,Diesel
292,TUV300T8,Mahindra,2018,1000000,4500,Diesel
293,SuzukiSwift,Maruti,2015,220000,129000,Diesel
294,XTrail,Nissan,2019,1200000,300,Diesel
295,SuzukiAlto,Maruti,2015,230000,5000,Petrol
296,Fortuner3.0,Toyota,2010,940000,131000,Diesel
297,ManzaELAN,Tata,2010,155555,111111,Petrol
298,BenzA,Mercedes,2013,1500000,14000,Petrol
299,BeatLS,Chevrolet,2016,210000,22000,Diesel
300,EcoSportTrend,Ford,2013,495000,38000,Diesel
301,IndigoLS,Tata,2016,125000,70000,Diesel
302,i20Magna,Hyundai,2010,195000,36000,Petrol
303,VentoHighline,Volkswagen,2015,550000,34000,Diesel
304,KwidRXT,Renault,2015,270000,43000,Petrol
305,EcoSportTitanium,Ford,2014,500000,40000,Diesel
306,Amaze1.5,Honda,2016,240000,160000,Diesel
307,Verna1.6,Hyundai,2017,800000,12000,Petrol
308,5Series,BMW,2011,1299000,49000,Diesel
309,Superb1.8,Skoda,2011,530000,68000,Petrol
310,Q32.0,Audi,2013,1499000,37000,Diesel
311,BoleroDI,Mahindra,2012,220000,59466,Diesel
312,FigoDuratorq,Ford,2012,250000,99000,Diesel
313,SuzukiWagon,Maruti,2018,395000,25500,Petrol
314,LoganDiesel,Mahindra,2009,130000,66000,Petrol
315,TUV300T4,Mahindra,2016,540000,35000,Diesel
316,Elitei20,Hyundai,2015,405000,28000,Petrol
317,Elitei20,Hyundai,2015,400000,30000,Petrol
318,CitySV,Honda,2017,760000,4000,Petrol
319,SuzukiBaleno,Maruti,2016,500000,28000,Petrol
320,FigoPetrol,Ford,2011,175000,75000,Petrol
321,City,Honda,2017,750000,3000,Petrol
322,Elitei20,Hyundai,2015,419000,20000,Petrol
323,EonEra,Hyundai,2018,140000,2110,Petrol
324,PajeroSport,Mitsubishi,2015,1540000,43222,Petrol
325,i10Magna,Hyundai,2008,275000,100200,Petrol
326,CorollaH2,Toyota,2003,150000,100000,Petrol
327,SuzukiSwift,Maruti,2011,230000,65,Petrol
328,IndigoCS,Tata,2015,123000,100000,Diesel
329,XcentBase,Hyundai,2016,300000,140000,Diesel
330,AccentExecutive,Hyundai,2009,165000,48000,Petrol
331,SuzukiBaleno,Maruti,2016,498000,22000,Petrol
332,ZestXE,Tata,2018,480000,103553,Diesel
333,SuzukiDzire,Maruti,2017,488000,80000,Diesel
334,SumoGold,Tata,2014,250000,99000,Diesel
335,CorollaAltis,Toyota,2010,220000,58000,Petrol
336,SuzukiEeco,Maruti,2013,290000,70000,LPG
337,Fortuner3.0,Toyota,2015,1525000,120000,Diesel
338,XUV500W6,Mahindra,2013,548900,49800,Diesel
339,TigorRevotron,Tata,2019,650000,100,Diesel
340,SuzukiErtiga,Maruti,2015,550000,75000,Petrol
341,MobilioS,Honda,2014,399000,44000,Diesel
342,SuzukiErtiga,Maruti,2016,730000,55000,Diesel
343,SuzukiVitara,Maruti,2017,725000,36000,Diesel
344,Verna1.6,Hyundai,2016,195000,56000,Diesel
345,SuzukiSwift,Maruti,2007,130000,62000,Petrol
346,SuzukiOmni,Maruti,2014,190000,6020,Petrol
347,Amaze,Honda,2013,250000,55700,Diesel
348,SantroXing,Hyundai,2003,120000,50000,Petrol
349,SuzukiZen,Maruti,2010,149000,35000,Petrol
350,SuzukiWagon,Maruti,2014,250000,18500,Petrol
351,SuzukiWagon,Maruti,2007,120000,7000,Petrol
352,BrioVX,Honda,2017,450000,11000,Petrol
353,SuzukiZen,Maruti,2008,135000,23000,Petrol
354,SuzukiWagon,Maruti,2016,225000,35500,Diesel
355,KwidRXT,Renault,2019,370000,1000,Petrol
356,XEXE,Jaguar,2016,2800000,8500,Petrol
357,EonMagna,Hyundai,2014,190000,35000,Petrol
358,City1.5,Honda,2014,499000,22000,Petrol
359,SuzukiRitz,Maruti,2010,149000,40000,Petrol
360,Grandi10,Hyundai,2017,400000,20000,Petrol
361,EonD,Hyundai,2016,120000,87000,Petrol
362,SuzukiSwift,Maruti,2015,250000,55000,Petrol
363,SuzukiWagon,Maruti,2017,375000,23000,Petrol
364,Amaze1.2,Honda,2014,381000,6000,Petrol
365,SuzukiEstilo,Maruti,2013,180000,65000,Petrol
366,SuzukiVitara,Maruti,2016,580000,25000,Diesel
367,SuzukiEeco,Maruti,2015,278000,39000,Petrol
368,Creta1.6,Hyundai,2016,1000000,8000,Petrol
369,ScorpioVlx,Mahindra,2013,690000,75000,Diesel
370,SuzukiErtiga,Maruti,2012,480000,51000,Diesel
371,Grandi10,Hyundai,2015,340000,53000,Petrol
372,EonD,Hyundai,2018,260000,25000,Petrol
373,FiestaSXi,Ford,2009,250000,56400,Petrol
374,SuzukiRitz,Maruti,2010,180000,72160,Diesel
375,VernaFluidic,Hyundai,2012,350000,10000,Diesel
376,SuzukiEstilo,Maruti,2007,115000,36000,Petrol
377,A62.0,Audi,2012,1599000,11500,Diesel
378,SuzukiWagon,Maruti,2003,130000,133000,Petrol
379,SuzukiWagon,Maruti,2009,159000,27000,Petrol
380,SuzukiWagon,Maruti,2009,160000,35000,Petrol
381,SuzukiAlto,Maruti,2010,110000,55000,Petrol
382,SuzukiBaleno,Maruti,2016,425000,40000,Petrol
383,Verna1.6,Hyundai,2019,900000,2000,Petrol
384,SuzukiSwift,Maruti,2009,150000,45000,Petrol
385,GetzPrime,Hyundai,2009,110000,20000,Petrol
386,GetzPrime,Hyundai,2009,115000,20000,Petrol
387,BeatPS,Chevrolet,2012,215000,65422,Diesel
388,EcoSportTrend,Ford,2017,580000,10000,Petrol
389,SuzukiDzire,Maruti,2013,380000,35000,Petrol
390,FluidicVerna,Hyundai,2013,350000,117000,Diesel
391,X1xDrive20d,BMW,2011,1150000,72000,Diesel
392,i20Asta,Hyundai,2010,300000,10750,Petrol
393,City1.5,Honda,2009,269000,55000,Petrol
394,CruzeLTZ,Chevrolet,2014,400000,41000,Diesel
395,VernaFluidic,Hyundai,2015,430000,73000,Diesel
396,SuzukiSwift,Maruti,2011,140000,65000,Diesel
397,XUV500W10,Mahindra,2018,1299000,40000,Diesel
398,SuzukiAlto,Maruti,2014,199000,37000,Petrol
399,MotorsOne,Force,2013,550000,140000,Diesel
400,SuzukiAlto,Maruti,2019,265000,9800,Petrol
401,Spark1.0,Chevrolet,2011,100000,27000,Petrol
402,i10,Hyundai,2009,215000,27000,Petrol
403,EtiosLiva,Toyota,2012,380000,20000,Diesel
404,Duster85PS,Renault,2013,401919,57923,Diesel
405,Enjoy,Chevrolet,2014,490000,30201,Diesel
406,SuzukiAlto,Maruti,2017,280000,6200,Petrol
407,5Series,BMW,2009,650000,37518,Petrol
408,EtiosLiva,Toyota,2014,160000,24652,Petrol
409,JeepMM,Mahindra,2004,424000,383,Diesel
410,BeatLS,Chevrolet,2016,225000,95000,Diesel
411,CruzeLTZ,Chevrolet,2011,350000,35000,Diesel
412,WranglerUnlimited,Jeep,2015,950000,3528,Diesel
413,SuzukiErtiga,Maruti,2013,485000,52500,Diesel
414,VernaVGT,Hyundai,2010,205000,47900,Diesel
415,SuzukiOmni,Maruti,2012,160000,14000,Petrol
416,SuzukiCelerio,Maruti,2018,310000,37000,Petrol
417,ZestQuadrajet,Tata,2017,180000,90000,Diesel
418,XUV500W6,Mahindra,2013,549900,52800,Diesel
419,IndigoCS,Tata,2016,150000,104000,Diesel
420,i10Era,Hyundai,2011,175000,30000,Petrol
421,IndigoLX,Tata,2016,230000,104000,Diesel
422,IndigoeCS,Tata,2016,230000,104000,Diesel
423,IndigoMarina,Tata,2004,180000,70000,Diesel
424,XcentSX,Hyundai,2015,400000,43000,Diesel
425,EonMagna,Hyundai,2013,185000,23000,Petrol
426,Duster85,Renault,2015,385000,51000,Diesel
427,Duster110,Renault,2013,435000,39000,Diesel
428,SuzukiWagon,Maruti,2010,225000,40000,Petrol
429,SuzukiSwift,Maruti,2006,189700,48247,Petrol
430,SuzukiErtiga,Maruti,2012,389700,39000,Diesel
431,SuzukiSwift,Maruti,2014,365000,23000,Petrol
432,SuzukiAlto,Maruti,2017,360000,9400,Petrol
433,i20Magna,Hyundai,2010,210000,50000,Petrol
434,i10Magna,Hyundai,2009,170000,75000,Petrol
435,ZestXE,Tata,2017,380000,70000,Diesel
436,XyloE8,Mahindra,2009,295000,64000,Diesel
437,CorollaAltis,Toyota,2010,185000,55000,Petrol
438,ManzaAqua,Tata,2014,160000,200000,Diesel
439,Kwid1.0,Renault,2018,290000,2137,Petrol
440,VentureEX,Tata,2013,100000,30000,Diesel
441,SuzukiSwift,Maruti,2014,315000,44000,Petrol
442,OctaviaClassic,Skoda,2006,114990,65000,Diesel
443,SuzukiOmni,Maruti,2012,120000,160000,LPG
444,BeatDiesel,Chevrolet,2011,125000,56000,Diesel
445,SumoGold,Tata,2012,210000,75000,Diesel
446,Verna1.6,Hyundai,2018,855000,42000,Diesel
447,Scorpio2.6,Mahindra,2007,260000,56000,Diesel
448,SuzukiSwift,Maruti,2011,255000,64000,Petrol
449,ScorpioSLX,Mahindra,2008,300000,70000,Diesel
450,Grandi10,Hyundai,2014,340000,25000,Petrol
451,Elitei20,Hyundai,2017,550000,15000,Petrol
452,Innova2.5,Toyota,2011,750000,147000,Diesel
453,SunnyXL,Nissan,2011,230000,52000,Petrol
454,BeatLT,Chevrolet,2012,130000,90001,Diesel
455,SuzukiAlto,Maruti,2017,270000,21000,Petrol
456,SuzukiSwift,Maruti,2012,280000,48006,Diesel
457,Innova2.0,Toyota,2012,600000,80000,Diesel
458,SuzukiSwift,Maruti,2010,190000,74000,Diesel
459,Elitei20,Hyundai,2015,500000,22000,Petrol
460,XUV500W10,Mahindra,2016,1065000,41000,Diesel
461,PoloTrendline,Volkswagen,2015,350000,25000,Diesel
462,EtiosLiva,Toyota,2012,350000,85000,Diesel
463,TUV300T4,Mahindra,2016,540000,29500,Diesel
464,Elitei20,Hyundai,2015,470000,30000,Petrol
465,SantroXing,Hyundai,2014,179000,57000,Petrol
466,SuzukiCiaz,Maruti,2016,650000,50000,Petrol
467,EonEra,Hyundai,2013,190000,39700,Petrol
468,Elantra1.8,Hyundai,2012,500000,65000,Petrol
469,SuzukiSwift,Maruti,2010,270000,67000,Diesel
470,SuzukiZen,Maruti,2008,125000,46000,Petrol
471,EonEra,Hyundai,2012,188000,38000,Petrol
472,Grandi10,Hyundai,2016,380000,27000,Petrol
473,VernaFluidic,Hyundai,2011,365000,43000,Diesel
474,EcoSportTrend,Ford,2014,465000,47000,Petrol
475,i20Magna,Hyundai,2011,240000,42000,Petrol
476,BeatDiesel,Chevrolet,2016,179999,19336,Diesel
477,IndicaeV2,Tata,2015,140000,60105,Diesel
478,XF2.2,Jaguar,2013,2190000,29000,Diesel
479,Q52.0,Audi,2014,2390000,34000,Diesel
480,3Series,BMW,2011,1075000,35000,Diesel
481,SuzukiSwift,Maruti,2015,475000,22000,Petrol
482,X1sDrive20d,BMW,2012,1025000,41000,Diesel
483,SuzukiS,Maruti,2016,615000,21000,Diesel
484,SuzukiErtiga,Maruti,2013,475000,48000,Diesel
485,SuzukiAlto,Maruti,2016,270000,38000,Petrol
486,CitySV,Honda,2014,475000,34000,Diesel
487,VentoComfortline,Volkswagen,2011,240000,45933,Petrol
488,City1.5,Honda,2005,120000,68000,Petrol
489,A42.0,Audi,2016,1900000,44000,Diesel
490,KUV100,Mahindra,2017,360000,35000,Diesel
491,ZestXE,Tata,2018,450000,102563,Diesel
